Unnamed: 0,A,B,C
120001,nibi1654ceplswh8jzc8034sp8prxrh78swuxe6c3uy,,
120002,nibi1g2cw8y402rqw6xqtsc8rgxmqqllzse2ffqarmr,,
120003,nibi1ldrsvn226v0qfy52vmnr4x592alcs4q7v8ee78,,
120004,nibi1l4kunxk3kr8m0aaapkjehvylth0nmvypn465ga,,
120005,nibi12m8zlt2wje3xfv038n3nh9ydh9ecq8s7f5tvdv,,
120006,nibi183a3mffmlx9hn7u9gsfs9drllggc7vm98q6s9s,,
120007,nibi1rv8l82u0efcqejg7hw8mnzhu2kesnvs8n42rrg,,
120008,nibi1q4rnc3heaujyylxsqy3af7wwglvpx430nr6aj4,,
120009,nibi10mjjj3jpj2383fck4hzhk22dun5kseed2y2vjy,,
120010,nibi1xauj69rw3l6cfpp7tkdvpt6f33695qzp524ew5,,
120011,nibi1h6mf2cs9yt6qze40jk2k5mtww9ca4kkkr6wu5q,,
120012,nibi1fyxjv3nva2nr72k5rll6zq78wfryd02gngkcz2,,
120013,nibi1lzc9uvyqfr2ekzdg0dn0rx6jwgs8dgv5vesk9j,,
120014,nibi1u3wjyzjhpsw7ehah59mc2wsqlar8uaxufxn0sh,,
120015,nibi1u0e7ty4hllws7y7qucv88lvazgmmmz8c6qvdtr,,
120016,nibi16hp4xjn5yrdgdhmckr02ew5t08wlqfqrtdx7xr,,
120017,nibi1sy82c58vthclxku80zhzfevy2zftc9a8qe84dm,,
120018,nibi17eprkhcejtdxv25teqqgg9etcyggcufh0wkwjc,,
120019,nibi1r24k28pmq69w69fhmw3zxhfgmlktxutpxhjcfx,,
120020,nibi1ldm058ruktwrvkpxfk0yr2pe3lezu43mvntmzg,,
120021,nibi1h99rmhntu7zva5zuzvn95ffxc2d0d8jrrajsew,,
120022,nibi1rnqe2py5vkc8kps9mks4wsjadrkpv4szjgz0wj,,
120023,nibi1v42sswrfyk04vefar7534qzppk4r2yharvfmzg,,
120024,nibi1m4l4yfm9j8c4l3czv0pmrrja5q52tup4w00mz0,,
120025,nibi13nmpkm09gzkacmn9qh0h3rx38tq9gftyjjrzdf,,
120026,nibi10teezyj0z32keghv8tz8hunerc4w54pu6svc75,,
120027,nibi1whsm2cq55pxqvl0yeqezq7cgwe4tlk4zky436r,,
120028,nibi1usjwtlt2lyqkr6vnj67dey55xzzw97exnahe2l,,
120029,nibi10cn88g2kaz4y63yjqxq7zcxd2pylguudf3pftp,,
120030,nibi168plxfrtfzlh9c49rw8w5pfexacykw6s84tg85,,
120031,nibi10lfngg52ceequj96m9tftanps2ef77j0qxcwhh,,
120032,nibi134y32gwpzu04xd4h3psh30v3n3nwvzpvn6ttql,,
120033,nibi195ygc9g2vvl05pd7euzzvq3kgq0y2u79sgsqag,,
120034,nibi1s0zk6j5tgwl2tj358wefcfp4spfy9lmg6tcgac,,
120035,nibi1ka7hjngx3qmy5pcd2psy7kjx4wpj3e2pcqf8cv,,
120036,nibi13emj84sc2qj4lzy7e5s8vv3ka957d77u6fr4kf,,
120037,nibi1lasv4g7p36ak406fm2wlul6qptkkdnj8xndknf,,
120038,nibi1cphu3d2gzrfdx65xds4jvpt0dez7maes57wu29,,
120039,nibi17gh92zquudy66kr84h47yxcmy60h0hm0nvxmwr,,
120040,nibi1xue5vtkpsfn0rjj4c8rl03663tun4g5lrrmsf0,,
120041,nibi1qdjqx0ar087x58qznhs93rd6yy4w8e87gdf4j6,,
120042,nibi102zujuhqd3rwu5mzqfxfc0f6rqy534drs8v4s7,,
120043,nibi13u0yj7zlaktjgthed8273j35ygv60tdu3f2umy,,
120044,nibi19qllz8tr30ga6vffzm6xfz0jajv9nvujce8uqc,,
120045,nibi1nuxuylf0ycyv2ljfpz3vrzw5tqfg39c78x76qp,,
120046,nibi1s4kumly5j4pwa9sn66kgdkqlt6pngpu3znrmxh,,
120047,nibi1tllswcl3wl2ycylyjkumzwge58muap7688swnm,,
120048,nibi1vfy6mhdyx4h98np3uvqggq5vd48xa7qe8kz2ms,,
120049,nibi1usj5smp05vc6sjwzzgvm6dxhnxq8u6eh4ned48,,
120050,nibi1ah6092vxmhxq2z0gnqhq9rk7nh2t5976ngdnaj,,
120051,nibi1d2qsj755v86ppng3rcdsm8k6p76pz2asglpqkv,,
120052,nibi1z8d6jg67hhu35cauej3jepzecgnwmdfdkux37k,,
